password,entropy,crack_time_seconds,strength_score
*jcP5ZYXh643m,81.22305767476661,2.8221279479628508e+16,3
R2YwM6NzQVUCt^Zm,99.96684021509736,1.2388464380849397e+22,3
z!W%^iHCVRw_,72.53272943230144,68316754532474.07,2
x=B!epgM,48.35515295486763,3600406.062696959,1
KeBz$QE+q-Z,66.488335312943,1035102341401.1293,2
izC@7xikOyK!aQq,93.71891270165378,1.630061102743342e+20,3
$hM^$bbMvV,60.443941193584536,15683368809.107971,2
NdXUM$GOAxIM8yF,93.71891270165378,1.630061102743342e+20,3
LWU@y+8@IL,62.47927513443585,64288889323.39929,2
Z=)--vn1Gre,68.72720264787944,4885955588578.345,2
blqX+wNGppJ-,72.53272943230144,68316754532474.07,2
kLF0Y=Ta2J2i1&K,93.71891270165378,1.630061102743342e+20,3
siLdg&ESBGznR,78.5771235516599,4508905799143302.0,2
AuttR((Gwid$z=n,90.6659117903768,1.9640793661068153e+19,3
VA3#XD4AD^dSC,81.22305767476661,2.8221279479628508e+16,3
B^2Nt*!cw(Od*,81.22305767476661,2.8221279479628508e+16,3
yTnhe)I,42.310758835509176,54551.60701056009,1
KHP=GdTP69,62.47927513443585,64288889323.39929,2
^8tEN!#z,49.98342010754868,11130347.874549743,1
zj6-9$j,39.50699332842307,7812.499999999993,0
)ssi(GATc!4Y*z%,93.71891270165378,1.630061102743342e+20,3
KJNvDf_,42.310758835509176,54551.60701056009,1
SztjF0@7HjVfED,87.4709851882102,2.1448172404517663e+18,3
Srsg=63+,49.98342010754868,11130347.874549743,1
T&(BD5T,39.50699332842307,7812.499999999993,0
0DmGicBbS3!,68.72720264787944,4885955588578.345,2
PK02fcmxOS,59.54196310386875,8392993658.683406,1
*jD&m$j)A,54.39954707422608,237626800.13799885,1
XkiOa!,36.26636471615072,826.5395001599987,0
L$8WNFRofeVdbb3,93.71891270165378,1.630061102743342e+20,3
1+Joppp,43.7354925941051,146451.9457177598,1
zd1FIq,35.725177862321246,568.0023558399979,0
mzcupcT,39.90307802698764,10280.717025279986,0
iGeX+4o,43.7354925941051,146451.9457177598,1
ROy%e3u9aoR=,74.97513016132302,371332624731954.1,2
*yK=IsYcEu$cN_W,90.6659117903768,1.9640793661068153e+19,3
lQ=eTrPs,48.35515295486763,3600406.062696959,1
UIu5n1H4L^V,68.72720264787944,4885955588578.345,2
qgwWs*,36.26636471615072,826.5395001599987,0
mQPcdO@f&3x,68.72720264787944,4885955588578.345,2
lYQ6mVs+l#1Qo=,87.4709851882102,2.1448172404517663e+18,3
DT8XtLKlp,53.587766793481876,135370865.46263543,1
Q9dy_6DuDV,62.47927513443585,64288889323.39929,2
81#G7Bc3ElH7m&,87.4709851882102,2.1448172404517663e+18,3
7ORreb7M,47.633570483095,2183401.0558489566,1
8+ge8BIza3fV,74.97513016132302,371332624731954.1,2
W%$$hPJ-Jf8Er,81.22305767476661,2.8221279479628508e+16,3
m0D+&lqDt7aJRCk5,99.96684021509736,1.2388464380849397e+22,3
+oc#N(jaqY+a=2OC,99.96684021509736,1.2388464380849397e+22,3
m=%-mhSU,48.35515295486763,3600406.062696959,1
*UTKfEXnRdl_!m,84.62151767101835,2.975877827434588e+17,3
=z8mml,33.86313713864835,156.24999999999997,0
$I3lW^,37.48756508066151,1926.999285759998,0
eS^iFs0B63jqMG,87.4709851882102,2.1448172404517663e+18,3
zpBe7mumjAr,65.49615941425563,520365606838.3717,2
i)0!+V43,49.98342010754868,11130347.874549743,1
f)!PzaLOPbIyoZ,84.62151767101835,2.975877827434588e+17,3
i7Sy2$,37.48756508066151,1926.999285759998,0
ECD+54hp%Pgk9y,87.4709851882102,2.1448172404517663e+18,3
P$mOsy$G$Pe)c4gM,99.96684021509736,1.2388464380849397e+22,3
i(3idk5S#,56.23134762099227,845906438.4657804,1
hta2-2r%(WO98$J-,99.96684021509736,1.2388464380849397e+22,3
+0d(XzR,43.7354925941051,146451.9457177598,1
wCURC2,35.725177862321246,568.0023558399979,0
Ul)0JemkbLJW,74.97513016132302,371332624731954.1,2
8VIvHIK(Yom$RANY,99.96684021509736,1.2388464380849397e+22,3
X8rP*e,37.48756508066151,1926.999285759998,0
cdyzm-&wdkn2!,73.37013046707142,122070312499999.86,2
wtWU&w9R,49.98342010754868,11130347.874549743,1
^D8%V$GT_jB9,74.97513016132302,371332624731954.1,2
rZLyFkWlW7,59.54196310386875,8392993658.683406,1
_j0DWu=,43.7354925941051,146451.9457177598,1
DZJeJFP_1)DcZv,87.4709851882102,2.1448172404517663e+18,3
gWBn#_0@XJt1,74.97513016132302,371332624731954.1,2
9(7PC+xII2wF(g,87.4709851882102,2.1448172404517663e+18,3
YfmB(Mx_MZUsuLQ,90.6659117903768,1.9640793661068153e+19,3
QRms-tVaKlp,66.488335312943,1035102341401.1293,2
HH9T5gaz!F^e9V,87.4709851882102,2.1448172404517663e+18,3
L-Q4(IEDs,56.23134762099227,845906438.4657804,1
f_rK=#q,42.310758835509176,54551.60701056009,1
pL1)TGc,43.7354925941051,146451.9457177598,1
Fge1*xdGc,56.23134762099227,845906438.4657804,1
mTd1m2fa=ab-kn,87.4709851882102,2.1448172404517663e+18,3
EhPQ6r9TG&3a&#)W,99.96684021509736,1.2388464380849397e+22,3
+Op3#VSP$W,62.47927513443585,64288889323.39929,2
U95d*9,37.48756508066151,1926.999285759998,0
I%zqrxQeixa#sC,84.62151767101835,2.975877827434588e+17,3
hu&WtM,36.26636471615072,826.5395001599987,0
BKWKInSrz-C1,74.97513016132302,371332624731954.1,2
8Z8eb^Ddcz,62.47927513443585,64288889323.39929,2
7*%K1x!,43.7354925941051,146451.9457177598,1
vA#6K2TxP&,62.47927513443585,64288889323.39929,2
n!Srr58cA&4)04j$,99.96684021509736,1.2388464380849397e+22,3
#4@LszTsGrBLC#,87.4709851882102,2.1448172404517663e+18,3
Lz=jshxuCI,60.443941193584536,15683368809.107971,2
x1#eKw@F5LJSbCfi,99.96684021509736,1.2388464380849397e+22,3
d$dqCi,36.26636471615072,826.5395001599987,0
hR@66^,37.48756508066151,1926.999285759998,0
+yneGL(lM,54.39954707422608,237626800.13799885,1
6jxDntv1zpCH2zhJ,95.26714096619,4.767240170682337e+20,3
aG6cROWI,47.633570483095,2183401.0558489566,1
449M2dJH%)xs-),87.4709851882102,2.1448172404517663e+18,3
$&eIW*Y4q4,62.47927513443585,64288889323.39929,2
VQ%fZaJEQY0sl,81.22305767476661,2.8221279479628508e+16,3
3zxL)TO1L%2ak=V,93.71891270165378,1.630061102743342e+20,3
#XaHqLlMoFCPpjO,90.6659117903768,1.9640793661068153e+19,3
rSg8a(znZ,56.23134762099227,845906438.4657804,1
W!oIP#O@,48.35515295486763,3600406.062696959,1
4-Tg(**jb,56.23134762099227,845906438.4657804,1
NGkyPlf&Fv_w8D,87.4709851882102,2.1448172404517663e+18,3
LhdR$)HN,48.35515295486763,3600406.062696959,1
X*Q-n@4+-4(_uOA,93.71891270165378,1.630061102743342e+20,3
nEB4qfg,41.67937417270812,35216.146062079904,1
*s6VQ1vsc,56.23134762099227,845906438.4657804,1
1sfkOsvMOJm@6oAs,99.96684021509736,1.2388464380849397e+22,3
jR1hNO#8,49.98342010754868,11130347.874549743,1
4F!-nLJu1w,62.47927513443585,64288889323.39929,2
W-Z#M_,31.931568569324178,40.9600000000001,0
oXWlGFoveb,57.004397181410916,1445551059.490564,1
q*YHqvlMT-wKM5,87.4709851882102,2.1448172404517663e+18,3
-M=5n@FPrh52,74.97513016132302,371332624731954.1,2
lTJx1Rg9GBs7gT,83.35874834541625,1.2401769434657461e+17,3
RH*L#37ItF%uLl21,99.96684021509736,1.2388464380849397e+22,3
37xTz3G2P^kPc$,87.4709851882102,2.1448172404517663e+18,3
ZrxmRMwmxW!7R*xo,99.96684021509736,1.2388464380849397e+22,3
jPOAuXz$W1%n47Cn,99.96684021509736,1.2388464380849397e+22,3
77B%NTUgO-c4,74.97513016132302,371332624731954.1,2
(zjA$-4k1t-,68.72720264787944,4885955588578.345,2
8cCPlCsNoKa7A8,83.35874834541625,1.2401769434657461e+17,3
zFw$8T2-Ai*C,74.97513016132302,371332624731954.1,2
@ERzUyJCYIdkiM&#,96.71030590973525,1.2962923816305017e+21,3
!je3I-^@Q,56.23134762099227,845906438.4657804,1
K2XinD1fpSD,65.49615941425563,520365606838.3717,2
2K5w^_,37.48756508066151,1926.999285759998,0
v(J8l3iRpq7KBnn,93.71891270165378,1.630061102743342e+20,3
&h)7v^GF,49.98342010754868,11130347.874549743,1
&IOjriez)x!C,72.53272943230144,68316754532474.07,2
m&PFJR,36.26636471615072,826.5395001599987,0
vRNo_0ZDAUxGfVW,93.71891270165378,1.630061102743342e+20,3
LtM9)Z*MFiHEF,81.22305767476661,2.8221279479628508e+16,3
x-1-ZsX8Xcp0s,81.22305767476661,2.8221279479628508e+16,3
C=NIurGJc,54.39954707422608,237626800.13799885,1
bZ+BSMiPBgg$to5,93.71891270165378,1.630061102743342e+20,3
!!FtyxyE36WpO9,87.4709851882102,2.1448172404517663e+18,3
cpm469,31.019550008653873,21.76782335999998,0
%0)a*zh,39.50699332842307,7812.499999999993,0
q=%_tKlc80,62.47927513443585,64288889323.39929,2
A5e5v)P*bT$c1,81.22305767476661,2.8221279479628508e+16,3
R7%NeaX&8hZaDW=,93.71891270165378,1.630061102743342e+20,3
h5nRS!Y8O4ZlI(jw,99.96684021509736,1.2388464380849397e+22,3
gL-4lS_sqsWQ,74.97513016132302,371332624731954.1,2
Lo)-P+Ju9Y3E,74.97513016132302,371332624731954.1,2
pDo8*j,37.48756508066151,1926.999285759998,0
&#ps@I,36.26636471615072,826.5395001599987,0
^1pq+*,33.86313713864835,156.24999999999997,0
nav%NiSnIJeK=Bd,90.6659117903768,1.9640793661068153e+19,3
a7ZErw*R^Wl,68.72720264787944,4885955588578.345,2
)uv!m3F+!f,62.47927513443585,64288889323.39929,2
lSjTJgFYxDO(+z,84.62151767101835,2.975877827434588e+17,3
C&v4SqyhIXoUc,81.22305767476661,2.8221279479628508e+16,3
hSu3k0Ds2I+,68.72720264787944,4885955588578.345,2
(Y!#viV4,49.98342010754868,11130347.874549743,1
4-$!wHy1eERyLz),93.71891270165378,1.630061102743342e+20,3
OrpE^Kl^!6,62.47927513443585,64288889323.39929,2
!km%)QgOmf,60.443941193584536,15683368809.107971,2
w)V9x5p_34J,68.72720264787944,4885955588578.345,2
X_OxuKYnHK+tprA,90.6659117903768,1.9640793661068153e+19,3
DeGt_#,36.26636471615072,826.5395001599987,0
&PCxe8zZ-g=f^yfk,99.96684021509736,1.2388464380849397e+22,3
rG!z-@uLGIfu(d,84.62151767101835,2.975877827434588e+17,3
h20KTtiBrJ_32jDC,99.96684021509736,1.2388464380849397e+22,3
wo8O)_0,43.7354925941051,146451.9457177598,1
Zg2frSJBEaPCu,77.40455203502937,2000285392686685.2,2
L1Oe(03X,49.98342010754868,11130347.874549743,1
q0+2_ok,39.50699332842307,7812.499999999993,0
w-kQekLY,48.35515295486763,3600406.062696959,1
%gapxC%bO%,60.443941193584536,15683368809.107971,2
F0l)))&x0,56.23134762099227,845906438.4657804,1
D=ZF%W,31.931568569324178,40.9600000000001,0
0K^Z91M1_a0,68.72720264787944,4885955588578.345,2
yu+9Ic@Aw+=3nU,87.4709851882102,2.1448172404517663e+18,3
